Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Type Species?,Genome Composition,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL,
11,Riboviria,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Freesia sneak ophiovirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201853948,
12,Riboviria,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Lettuce ring necrosis ophiovirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201853949,
13,Riboviria,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Mirafiori lettuce big-vein ophiovirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201853950,
14,Riboviria,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Ranunculus white mottle ophiovirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201853951,
15,Riboviria,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Tulip mild mottle mosaic ophiovirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201853952,
16,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Argas mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856041,
17,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Barnacle mivirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856042,
18,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Beetle mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856043,
19,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Bole mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856044,
20,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Brunnich mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856045,
21,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Changping mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856046,
22,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Charybdis mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856047,
23,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Cockroach mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856048,
24,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Crab mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856049,
25,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Crustacean mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856050,
26,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Dermacentor mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856051,
27,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Hermit mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856053,
28,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Hippoboscid mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856054,
29,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Hubei mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856055,
30,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Hubei odonate mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856056,
31,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Imjin mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856057,
32,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Lacewing mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856058,
33,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Lishi mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856059,
34,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Lonestar mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856060,
35,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Louse fly mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856061,
36,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Mosquito mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856062,
37,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Myriapod mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856063,
38,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Odonate mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856064,
39,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Sanxia mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856065,
40,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Shayang mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856066,
41,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Suffolk mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856067,
42,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Wenling mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856068,
43,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Wuhan mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856069,
44,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Xinzhou mivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856070,
45,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Barnacle peropuvirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856269,
46,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Beihai peropuvirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856272,
47,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Hubei peropuvirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856271,
48,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Odonate peropuvirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856270,
49,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Pillworm peropuvirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856274,
50,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Pteromalus puparum peropuvirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851583,
51,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Woodlouse peropuvirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856273,
52,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Carbovirus,,Queensland carbovirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855571,
53,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Carbovirus,,Southwest carbovirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855572,
54,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Cultervirus,,Sharpbelly cultervirus,1,ssRNA(-),"New,",34,2018.016M.A.v1.Cultervirus.zip,ICTVonline=201856589,
55,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Elapid 1 orthobornavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851552,
56,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Mammalian 1 orthobornavirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851553,
57,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Mammalian 2 orthobornavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851554,
58,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Passeriform 1 orthobornavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851555,
59,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Passeriform 2 orthobornavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851556,
60,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Psittaciform 1 orthobornavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851557,
61,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Psittaciform 2 orthobornavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851558,
62,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Waterbird 1 orthobornavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851559,
63,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Cuevavirus,,Lloviu cuevavirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851563,
64,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Ebolavirus,,Bundibugyo ebolavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851565,
65,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Ebolavirus,,Reston ebolavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851566,
66,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Ebolavirus,,Sudan ebolavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851567,
67,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Ebolavirus,,Tai Forest ebolavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851568,
68,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Ebolavirus,,Zaire ebolavirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851569,
69,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Marburgvirus,,Marburg marburgvirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851571,
70,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Striavirus,,Xilang striavirus,1,ssRNA(-),"New,",34,2018.015M.A.v1.Filoviridae_2gen.zip,ICTVonline=201856582,
71,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Thamnovirus,,Huangjiao thamnovirus,1,ssRNA(-),"New,",34,2018.015M.A.v1.Filoviridae_2gen.zip,ICTVonline=201856584,
72,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Lispiviridae,,Arlivirus,,Gerrid arlivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851820,
73,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Lispiviridae,,Arlivirus,,Hubei arlivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856266,
74,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Lispiviridae,,Arlivirus,,Lishi arlivirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851814,
75,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Lispiviridae,,Arlivirus,,Odonate arlivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856268,
76,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Lispiviridae,,Arlivirus,,Tacheng arlivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851816,
77,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Lispiviridae,,Arlivirus,,Wuchang arlivirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856267,
78,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Dadou sclerotimonavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856247,
79,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Drop sclerotimonavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856248,
80,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Glycine sclerotimonavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856243,
81,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Hubei sclerotimonavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856246,
82,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Illinois sclerotimonavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856244,
83,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Phyllosphere sclerotimonavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856245,
84,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Sclerotinia sclerotimonavirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851575,
85,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Berhavirus,,Beihai berhavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856257,
86,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Berhavirus,,Echinoderm berhavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856258,
87,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Berhavirus,,Sipunculid berhavirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856256,
88,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Crustavirus,,Beihai crustavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856250,
89,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Crustavirus,,Wenling crustavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856249,
90,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Crustavirus,,Wenzhou crustavirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851818,
91,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Nyavirus,,Midway nyavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851579,
92,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Nyavirus,,Nyamanini nyavirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851580,
93,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Nyavirus,,Sierra Nevada nyavirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851581,
94,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Orinovirus,,Orinoco orinovirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856252,
95,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Socyvirus,,Soybean cyst nematode socyvirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201851585,
96,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Tapwovirus,,Tapeworm tapwovirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856254,
97,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,Avulavirinae,Metaavulavirus,,Avian metaavulavirus 2,1,ssRNA(-),"Renamed,Moved,Assigned as Type Species,",34,2018.011M.A.v1.Paramyxoviridae.zip,ICTVonline=201851592,
98,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,Avulavirinae,Metaavulavirus,,Avian metaavulavirus 5,0,ssRNA(-),"Renamed,Moved,",34,2018.011M.A.v1.Paramyxoviridae.zip,ICTVonline=201851595,
99,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,Avulavirinae,Metaavulavirus,,Avian metaavulavirus 6,0,ssRNA(-),"Renamed,Moved,",34,2018.011M.A.v1.Paramyxoviridae.zip,ICTVonline=201851596,
100,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,Avulavirinae,Metaavulavirus,,Avian metaavulavirus 7,0,ssRNA(-),"Renamed,Moved,",34,2018.011M.A.v1.Paramyxoviridae.zip,ICTVonline=201851597,
101,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,Avulavirinae,Metaavulavirus,,Avian metaavulavirus 8,0,ssRNA(-),"Renamed,Moved,",34,2018.011M.A.v1.Paramyxoviridae.zip,ICTVonline=201851598,
102,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,Avulavirinae,Metaavulavirus,,Avian metaavulavirus 10,0,ssRNA(-),"Renamed,Moved,",34,2018.011M.A.v1.Paramyxoviridae.zip,ICTVonline=201851600,
103,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,Avulavirinae,Metaavulavirus,,Avian metaavulavirus 11,0,ssRNA(-),"Renamed,Moved,",34,2018.011M.A.v1.Paramyxoviridae.zip,ICTVonline=201851601,
104,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,Avulavirinae,Metaavulavirus,,Avian metaavulavirus 14,0,ssRNA(-),"Renamed,Moved,",34,2018.011M.A.v1.Paramyxoviridae.zip,ICTVonline=201855574,
105,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,Avulavirinae,Metaavulavirus,,Avian metaavulavirus 15,0,ssRNA(-),"Renamed,Moved,",34,2018.011M.A.v1.Paramyxoviridae.zip,ICTVonline=201855575,
106,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,Avulavirinae,Metaavulavirus,,Avian metaavulavirus 20,0,ssRNA(-),"New,",34,2018.011M.A.v1.Paramyxoviridae.zip,ICTVonline=201856448,
107,Riboviria,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,Avulavirinae,Orthoavulavirus,,Avian orthoavulavirus 1,1,ssRNA(-),"Renamed,Moved,",34,2018.011M.A.v1.Paramyxoviridae.zip,ICTVonline=201851591,
